1,2,3,type
50,21,77,2
55,0,92,4
53,0,82,1
37,0,76,1
37,0,79,1
85,0,88,5
56,0,81,4
55,-1,95,1
53,8,77,4
37,0,101,1
37,0,78,1
45,0,84,1
38,2,77,1
37,0,78,1
41,0,100,1
41,0,89,1
47,0,85,1
49,0,79,1
49,3,82,1
37,-318,105,1
44,3,77,1
106,2,108,5
37,-5,76,1
49,0,100,1
45,-1,87,1
37,4,80,1
55,-1,98,4
55,0,86,1
55,3,88,1
37,0,74,1
37,0,106,1
49,0,107,1
79,5,83,5
51,0,79,1
59,4,84,1
37,0,108,1
56,3,97,4
39,5,77,1
51,-5,81,1
49,0,77,1
46,2,77,1
56,0,81,1
56,0,79,4
37,0,105,1
76,0,81,5
56,0,80,1
41,2,76,1
41,1,85,1
56,-4,97,4
49,0,95,1
37,2,76,1
56,1,99,4
56,-4,88,1
37,-3,81,1
47,0,84,1
41,1,86,1
53,3,81,1
47,5,79,1
104,7,105,5
101,-3,102,5
45,0,86,1
42,4,77,1
45,0,79,1
37,0,80,1
56,0,96,4
56,0,81,4
42,0,83,1
51,1,88,1
49,3,82,1
41,1,86,1
37,0,77,1
49,0,84,1
37,-1,77,1
41,0,79,1
51,0,79,1
55,-1,79,4
41,0,77,1
46,-3,80,1
56,0,79,4
44,0,82,1
45,0,83,1
37,0,77,1
37,0,75,1
37,1,77,1
51,0,79,1
46,-4,76,1
49,0,77,1
45,0,108,1
42,0,79,1
37,0,78,1
37,0,76,1
53,5,84,1
38,4,76,1
40,0,80,1
47,2,95,1
45,0,79,1
41,-1,86,1
55,0,95,4
56,0,95,1
51,-3,83,1
37,0,75,1
37,0,75,1
81,-2,84,5
43,0,95,1
41,0,84,1
49,0,87,1
49,0,83,1
37,-3,77,1
81,0,84,5
55,1,84,1
55,0,96,4
42,0,81,1
79,0,83,5
59,-5,84,1
56,-3,87,1
55,0,82,4
56,0,92,4
46,0,80,1
56,0,78,4
37,0,83,1
37,0,77,1
53,-1,87,1
37,-1,79,1
44,-1,82,1
48,-3,95,1
42,5,79,1
37,0,106,1
37,0,81,1
44,-4,82,1
45,0,83,1
55,2,83,1
55,0,77,4
41,3,78,1
37,0,78,1
57,3,91,1
37,0,76,1
37,0,77,1
37,0,76,1
49,4,84,1
37,0,77,1
50,-4,85,1
51,-2,87,1
37,0,93,1
56,0,82,1
43,0,81,1
55,-2,108,1
37,0,81,1
45,-1,78,1
41,0,77,1
48,1,87,1
43,0,81,1
56,0,96,4
37,0,92,1
46,1,83,1
49,-2,77,1
45,0,83,1
56,0,81,4
48,-3,109,1
37,0,83,1
50,-4,83,1
47,-2,75,1
48,1,81,1
55,0,82,4
50,3,107,1
38,0,102,1
37,0,106,1
37,0,77,1
37,0,79,1
43,0,84,1
36,-1,81,1
45,1,80,1
55,0,78,4
58,5,88,1
48,0,88,1
105,-1,106,5
54,-1,86,1
56,4,96,4
79,2,83,5
37,0,97,1
46,-3,109,1
37,0,78,1
37,0,78,1
56,0,78,4
55,0,83,4
54,2,80,1
55,0,77,4
37,0,104,1
55,-1,79,4
43,-3,86,1
41,-1,89,1
39,0,107,1
46,0,107,1
37,4,76,1
44,1,76,1
53,0,79,1
44,0,81,1
56,3,99,4
56,0,93,4
37,0,75,1
52,4,84,1
80,0,85,5
37,0,76,1
55,0,92,4
44,2,75,1
43,-5,83,1
41,-1,76,1
45,0,86,1
55,0,77,4
67,-2,110,1
37,-67,106,1
56,0,108,1
42,0,86,1
56,0,84,1
38,2,80,1
45,0,86,1
44,0,83,1
45,-2,83,1
53,-1,88,1
51,0,83,1
41,0,81,1
46,0,88,1
43,0,77,1
45,2,76,1
41,1,97,1
37,0,81,1
83,0,86,5
56,0,81,4
43,0,87,1
56,4,98,4
46,2,78,1
37,0,79,1
43,-1,83,1
37,0,83,1
55,0,95,4
56,3,89,1
37,0,78,1
48,1,87,1
37,0,90,1
55,0,96,4
51,-3,84,1
37,0,78,1
37,0,97,1
45,-1,77,1
49,0,84,1
53,0,81,1
37,2,90,1
37,0,77,1
70,57,82,2
61,-2,111,1
59,0,86,1
49,0,95,1
45,2,86,1
45,0,79,1
56,0,78,4
55,-3,96,1
49,0,78,1
39,3,77,1
55,-1,79,4
56,0,86,1
37,0,81,1
41,0,82,1
45,-3,88,1
37,0,83,1
43,0,77,1
84,6,89,5
37,0,79,1
37,0,81,1
43,0,77,1
56,-1,98,4
50,1,78,1
39,3,86,1
43,0,81,1
37,0,79,1
58,-4,91,1
45,0,93,1
38,3,76,1
37,0,79,1
79,6,83,5
36,-1,76,1
85,-3,88,5
37,3,77,1
37,0,77,1
45,0,79,1
54,4,77,4
43,-5,77,1
41,0,83,1
43,0,77,1
56,2,81,4
55,0,82,4
37,0,103,1
50,1,90,1
45,0,84,1
48,0,89,1
85,0,88,5
47,-2,106,1
37,-6,78,1
37,-38,106,3
58,0,91,1
46,0,78,1
55,0,95,4
56,0,82,1
55,0,92,4
39,-2,86,1
51,2,81,1
37,0,75,1
41,-2,80,1
53,0,86,1
46,2,88,1
37,0,78,1
44,0,79,1
38,-3,76,1
52,4,91,1
37,0,93,1
56,0,77,4
44,4,82,1
37,0,79,1
46,0,87,1
52,-3,86,1
41,0,79,1
56,0,80,1
82,1,86,5
60,-5,111,1
44,1,88,1
46,1,87,1
52,-3,88,1
37,0,78,1
43,0,78,1
37,0,84,1
42,-4,85,1
43,0,79,1
78,-2,82,5
48,0,88,1
55,0,90,1
78,0,82,5
39,1,77,1
43,1,77,1
107,-2,108,5
55,-1,81,1
41,0,106,1
58,-4,85,1
37,0,76,1
42,-1,78,1
42,5,82,1
53,0,103,1
42,2,75,1
37,4,106,1
49,-1,81,1
46,0,77,1
56,4,95,4
41,1,107,1
56,0,77,4
37,0,76,1
44,-4,77,1
49,-2,83,1
56,0,78,4
52,2,81,1
37,0,77,1
55,0,82,4
37,0,83,1
55,0,95,4
46,4,77,1
51,1,81,1
37,0,106,1
54,3,83,1
102,0,103,5
62,0,109,1
55,0,93,4
44,0,82,1
45,4,87,1
45,0,81,1
56,0,77,4
37,-1,76,1
56,0,79,4
45,0,88,1
44,0,87,1
37,-3,77,1
37,0,77,1
37,-15,78,1
56,1,80,1
47,-4,86,1
49,-4,107,1
57,0,82,1
41,1,108,1
37,0,79,1
62,-2,108,1
43,0,86,1
55,0,87,1
47,-1,86,1
45,-4,81,1
57,0,88,1
37,0,76,1
41,-1,100,1
49,-1,79,1
37,0,104,1
55,0,92,4
107,-2,108,5
55,0,98,4
56,3,85,1
44,2,83,1
49,-1,86,1
37,0,78,1
106,0,107,5
37,0,78,1
43,0,102,1
56,0,92,1
42,0,79,1
37,0,93,1
66,0,109,1
39,0,79,1
37,0,79,1
84,1,87,5
51,-4,86,1
52,-3,84,1
49,0,95,1
37,0,95,1
50,-3,81,1
44,0,81,1
37,0,76,1
45,0,82,1
37,0,78,1
43,0,81,1
41,-1,81,1
55,0,82,4
45,-1,88,1
37,0,106,1
45,0,79,1
37,0,79,1
76,0,81,5
44,-1,85,1
43,-1,76,1
56,-2,97,4
56,2,88,1
48,0,81,1
55,1,77,1
37,2,97,1
55,0,78,4
56,0,96,4
44,0,86,1
55,-4,96,4
37,0,78,1
49,1,95,1
37,0,95,1
44,0,99,1
107,-4,108,5
37,0,77,1
56,0,86,1
56,0,76,4
42,0,80,1
37,0,76,1
80,1,84,5
45,3,79,1
43,0,89,1
44,1,86,1
50,-1,86,1
51,-1,86,1
45,-1,78,1
46,0,86,1
37,0,83,1
42,5,84,1
56,0,89,1
37,0,79,1
42,-1,88,1
37,0,75,1
37,0,96,1
85,0,89,5
56,0,96,4
53,0,84,1
56,0,79,4
37,0,81,1
37,0,77,1
41,0,76,1
41,-5,88,1
45,-4,107,1
56,0,107,1
49,1,106,1
45,1,86,1
50,-2,81,1
48,-2,95,1
56,0,97,4
56,0,93,4
